model_dir	condition	generated_from	mean_delta_from_items	mean_delta_from_condition_summary	abs_diff
gemma2	just	P	0.15222823923826215	0.1522282392382621	5.551115123125783e-17
gemma2	just	P_prime	0.0933046941757202	0.0933046941757202	0.0
gemma2	not	P	0.8578247733910878	0.8578247733910879	1.1102230246251565e-16
gemma2	not	P_prime	0.8620305808385214	0.8620305808385214	0.0
gemma2	only	P	0.17147298343976336	0.1714729834397634	2.7755575615628914e-17
gemma2	only	P_prime	0.17237690369288125	0.1723769036928812	5.551115123125783e-17
gemma2_it	just	P	0.10910143095254901	0.1091014309525489	1.1102230246251565e-16
gemma2_it	just	P_prime	1.075496186077595	1.075496186077595	0.0
gemma2_it	not	P	6.523376132726669	6.5233761327266695	8.881784197001252e-16
gemma2_it	not	P_prime	9.433682884057363	9.433682884057363	0.0
gemma2_it	only	P	0.970696017106374	0.970696017106374	0.0
gemma2_it	only	P_prime	1.401062584797541	1.4010625847975413	2.220446049250313e-16
llama3	just	P	0.26767639660835263	0.2676763966083527	5.551115123125783e-17
llama3	just	P_prime	0.11074645847082136	0.1107464584708213	5.551115123125783e-17
llama3	not	P	0.814532349427541	0.814532349427541	0.0
llama3	not	P_prime	0.5891466993490855	0.5891466993490855	0.0
llama3	only	P	0.18635742354393	0.18635742354393	0.0
llama3	only	P_prime	0.13590349078178404	0.135903490781784	5.551115123125783e-17
llama3_instruct	just	P	0.8089339736700059	0.8089339736700057	1.1102230246251565e-16
llama3_instruct	just	P_prime	0.8880431959629058	0.8880431959629059	1.1102230246251565e-16
llama3_instruct	not	P	7.930271002054215	7.930271002054215	0.0
llama3_instruct	not	P_prime	11.918201537768047	11.918201537768049	1.7763568394002505e-15
llama3_instruct	only	P	1.5365277928511303	1.53652779285113	2.220446049250313e-16
llama3_instruct	only	P_prime	1.3147455428441366	1.3147455428441366	0.0
olmo2	just	P	0.17282682251930234	0.1728268225193023	5.551115123125783e-17
olmo2	just	P_prime	0.10282467395067214	0.1028246739506721	4.163336342344337e-17
olmo2	not	P	0.6035197513103486	0.6035197513103485	1.1102230246251565e-16
olmo2	not	P_prime	0.6927438210646312	0.6927438210646312	0.0
olmo2	only	P	0.24278397568066915	0.2427839756806691	5.551115123125783e-17
olmo2	only	P_prime	0.19854661138852434	0.1985466113885243	2.7755575615628914e-17
olmo2_instruct	just	P	1.0265157247185708	1.0265157247185708	0.0
olmo2_instruct	just	P_prime	1.255683742403984	1.2556837424039842	2.220446049250313e-16
olmo2_instruct	not	P	12.526337903261185	12.526337903261185	0.0
olmo2_instruct	not	P_prime	16.140455926656724	16.140455926656724	0.0
olmo2_instruct	only	P	1.2493361937999725	1.2493361937999723	2.220446049250313e-16
olmo2_instruct	only	P_prime	1.9449373987515768	1.9449373987515768	0.0
qwen35_instruct	just	P	0.9514479238390923	0.9514479238390924	1.1102230246251565e-16
qwen35_instruct	just	P_prime	0.7464482291936874	0.7464482291936875	1.1102230246251565e-16
qwen35_instruct	not	P	11.249477957963943	11.249477957963943	0.0
qwen35_instruct	not	P_prime	15.38016785399119	15.38016785399119	0.0
qwen35_instruct	only	P	1.493025105158488	1.493025105158488	0.0
qwen35_instruct	only	P_prime	1.5460137269496919	1.546013726949692	2.220446049250313e-16
qwen3_5	just	P	0.17528081852197644	0.1752808185219764	2.7755575615628914e-17
qwen3_5	just	P_prime	0.11901209312677381	0.1190120931267738	1.3877787807814457e-17
qwen3_5	not	P	1.0129227259159088	1.0129227259159088	0.0
qwen3_5	not	P_prime	1.0176682970523834	1.0176682970523834	0.0
qwen3_5	only	P	0.17555693888664245	0.1755569388866424	5.551115123125783e-17
qwen3_5	only	P_prime	0.17265886592864987	0.1726588659286499	2.7755575615628914e-17
