source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins
just	discourse_particle	0	1157	just	h	50	50	0	0.0	0.62	0.9250895274336246	0.2348128366470337	0.21507061073363817	0.0	-0.12841796875	0.5	0.8599312950791286	-0.023914504051208495	0.39021722829509514	0.0	-0.3308782577514648	False	False
just	discourse_particle	1	5467	just	h	50	50	2	0.02040816326530612	0.52	0.9538559808991676	0.13879106998443602	0.4196661913194291	1.0	0.8098039627075195	0.58	0.305473771454121	0.1441806983947754	-0.035689060929227245	1.0	0.137939453125	True	True
just	discourse_particle	2	2485	just	h	50	50	0	0.0	0.74	0.5329272947340147	0.29712164878845215	0.16019966216329595	1.0	0.5322265625	0.4	0.9410413151346729	-0.061334588527679444	0.09314573700305244	0.0	-0.8949260711669922	False	False
just	discourse_particle	3	2798	just	h	50	50	0	0.0	0.68	0.8912785052102427	0.8021044754981994	0.554634581760279	0.0	-0.1044178009033203	0.68	0.7250828417592524	0.3061526775360107	-0.03399456993722891	1.0	0.0926971435546875	True	False
just	discourse_particle	4	1627	just	h	50	50	1	0.010101010101010102	0.72	0.6851278918779757	0.0925227165222168	-0.0018822606895287038	1.0	0.0500030517578125	0.38	0.06385140969669617	-0.05696683645248413	-0.03583791482288634	1.0	0.111328125	False	True
just	discourse_particle	5	4508	just	h	50	50	3	0.030927835051546393	0.64	0.8710499247604692	0.10774495840072632	0.08923957432972779	0.0	-0.095703125	0.52	0.04709197256576634	0.10619174003601074	-0.07644654786467994	0.0	-0.542236328125	True	False
just	discourse_particle	6	638	just	h	50	50	0	0.0	0.7	0.8037240941015638	0.17951464653015137	0.3901872291909915	1.0	0.04034423828125	0.5	0.08782953705806965	0.018629193305969242	-0.21726539698931632	0.0	-0.33343505859375	True	False
just	discourse_particle	7	8659	just	h	50	50	0	0.0	0.66	0.6032624620509545	0.13626979827880858	0.0813782320362108	1.0	0.3052825927734375	0.56	0.8556889566015605	0.007588863372802734	0.5728815340494732	1.0	0.740234375	True	True
just	discourse_particle	8	6078	just	h	50	50	0	0.0	0.66	0.7854289599595279	0.2683815383911133	0.45306592884457364	1.0	0.9810867309570312	0.6	0.8705021667457017	0.16284406423568726	0.10552489555206503	0.0	-0.1234893798828125	True	False
just	discourse_particle	9	9954	just	h	50	50	2	0.02040816326530612	0.74	0.05913099630592669	0.09991859436035157	-0.03595912853914753	1.0	0.33465576171875	0.4	0.9930096752806241	-0.04055591583251953	0.04253972115856335	0.0	-0.1723365783691406	False	False
just	discourse_particle	10	5138	just	h	50	50	0	0.0	0.78	0.9985783425967268	0.28498655557632446	0.29049563506441783	0.0	-0.3773193359375	0.62	0.4627497917289592	0.24598126888275146	-0.150319763632393	1.0	0.837005615234375	True	False
just	discourse_particle	11	498	just	h	50	50	0	0.0	0.76	0.8509938569014736	0.1823071050643921	0.10289745680333645	1.0	0.3877937793731689	0.62	0.32071103868219364	0.07776166915893555	-0.02990751208703433	1.0	0.11395263671875	True	True
just	discourse_particle	12	7769	just	h	50	50	0	0.0	0.52	0.8911354297295794	-0.012488398551940918	0.048266477175748744	0.0	-0.420654296875	0.54	0.848352440772135	0.03983936309814453	0.17453038502152696	1.0	0.902099609375	False	False
just	discourse_particle	13	12718	just	h	50	50	0	0.0	0.54	0.9108917089615898	0.12585234642028809	0.4813076075915949	1.0	0.086191177368164	0.46	0.27563878428852984	-0.01682832479476929	-0.12842073620454109	0.0	-0.06884765625	False	False
just	discourse_particle	14	8242	just	h	50	50	0	0.0	0.44	0.5032995748201055	0.15468433380126953	-0.05030539031324941	1.0	0.0118408203125	0.64	0.9313084885575941	0.15174232482910155	0.004287089784649963	1.0	0.056182861328125	True	True
just	discourse_particle	15	8890	just	h	50	50	0	0.0	0.6	0.31880436679071167	0.12374169111251831	0.03310289376891902	1.0	0.3718490600585937	0.7	0.004193879083317606	0.1740618658065796	-0.23584114586545232	0.0	-0.093963623046875	True	False
just	discourse_particle	16	10613	just	h	50	50	2	0.02040816326530612	0.6	0.8416105982970448	0.03022700309753418	0.018428463094096556	0.0	-0.061920166015625	0.64	0.6894229314259739	0.13643277168273926	0.08071063252481017	1.0	0.9511947631835938	True	False
just	discourse_particle	17	6323	just	h	50	50	0	0.0	0.6	0.035909317603219006	0.10262678623199463	-0.013314767141344995	0.0	-0.112640380859375	0.58	0.11620396590378905	0.034762272834777834	-0.019226659098996436	1.0	0.1534116268157959	True	False
just	discourse_particle	18	4012	just	h	50	50	0	0.0	0.58	0.7161782878755988	0.08963657140731812	0.007746058359242837	0.0	-0.1689376831054687	0.66	0.9240126733070213	0.10606808185577393	0.1327701145860734	1.0	0.09564208984375	True	False
just	discourse_particle	19	9268	just	h	50	50	1	0.010101010101010102	0.84	0.9615787726741113	0.3349797821044922	0.18714832548829882	1.0	0.203125	0.56	0.9001908179954516	0.13140048503875731	0.21039695996552496	1.0	0.5427932739257812	True	True
just	discourse_particle	20	788	just	h	50	50	5	0.05263157894736842	0.6	0.8070965200640179	0.05118059158325195	0.011935623017579314	1.0	0.0304107666015625	0.5	0.2340036845025576	0.01962316513061524	0.0019670239947833152	0.0	-0.2242450714111328	True	False
just	discourse_particle	21	5758	just	h	50	50	0	0.0	0.66	0.9549830501608987	0.19726268768310548	0.41293223974425436	1.0	0.605224609375	0.54	7.131987633362639e-05	0.018527412414550783	-0.4468192740105325	0.0	-0.81298828125	True	False
just	discourse_particle	22	7873	just	h	50	50	0	0.0	0.54	0.10337507247746613	0.344351487159729	-0.369262581924245	0.0	-0.017578125	0.46	0.36035872397194196	-0.05409539222717285	0.12529035540498784	0.0	-0.199676513671875	False	False
just	discourse_particle	23	2141	just	h	50	50	0	0.0	0.44	0.6840662710331887	0.017934076786041264	-0.00361173294054011	1.0	0.277099609375	0.66	0.39902657429786587	0.08018264055252075	-0.09556658182554506	0.0	-0.4798583984375	True	False
just	discourse_particle	24	5388	just	h	50	50	0	0.0	0.64	0.7474866861869871	0.15259845972061156	0.18899104471900272	1.0	0.688075065612793	0.58	0.9888034759252436	0.05401084899902344	0.2970914762318723	1.0	0.2218246459960937	True	True
just	discourse_particle	25	1001	just	h	50	50	0	0.0	0.7	0.5310506233522153	0.21665275812149049	0.017329344770201836	1.0	1.12738037109375	0.4	0.6625326276785966	-0.0056240129470825195	0.026867802700418553	0.0	-0.0730133056640625	False	False
just	discourse_particle	26	9687	just	h	50	50	0	0.0	0.54	0.7445579621046036	0.09693437576293945	0.2893481504335038	1.0	0.01373291015625	0.68	0.9817197210922467	0.24953157424926758	1.054820968794741	0.0	-0.1121826171875	True	False
just	discourse_particle	27	6768	just	h	50	50	0	0.0	0.5	0.8617924989420881	0.08096458435058594	0.31993554749700215	0.0	-0.08447265625	0.66	0.07068329841247972	0.14083538293838502	-0.26780756029298647	0.0	-0.3494644165039062	True	False
just	discourse_particle	28	12662	just	h	50	50	1	0.010101010101010102	0.66	0.692171967636481	0.24294697761535644	-0.02636524504912818	0.0	-0.75030517578125	0.66	0.9777049783882574	0.2509973645210266	0.11950721528924446	1.0	1.150146484375	True	False
just	discourse_particle	29	1461	just	h	50	50	5	0.05263157894736842	0.6	0.48904891383057686	0.18314868927001954	0.1740041085139671	1.0	0.421875	0.34	0.8740356652591705	-0.06494762897491455	-0.038851364750570466	0.0	-0.200439453125	False	False
just	discourse_particle	30	10555	just	h	50	50	0	0.0	0.56	0.16535445211450744	0.022474310398101806	-0.02595179570925965	0.0	-0.39892578125	0.58	0.8734605846042806	0.016768841743469244	0.25534655851292104	1.0	0.1878662109375	True	False
just	discourse_particle	31	2164	just	h	50	50	0	0.0	0.76	0.9576901106421867	0.10971480369567871	0.15471198922144858	1.0	0.172393798828125	0.48	0.00895177815154759	0.024383044242858885	-0.06783664272362061	0.0	-0.308868408203125	True	False
just	discourse_particle	32	6675	just	h	50	50	0	0.0	0.52	0.4724848533720117	0.11411954641342163	-0.05130436049892866	1.0	0.8989105224609375	0.74	0.006990666183208572	0.21262837409973145	-0.1824488664399181	1.0	0.2607421875	True	True
just	discourse_particle	33	8011	just	h	50	50	0	0.0	0.58	0.8116441790100092	0.0658563470840454	0.3043815761584828	1.0	0.4514780044555664	0.52	0.015569821227033811	0.015451853275299075	-0.17365147294186803	1.0	0.08056640625	True	True
just	discourse_particle	34	3966	just	h	50	50	1	0.010101010101010102	0.62	0.0013988994277788212	0.2037549114227295	-0.028536279581565592	0.0	-0.02740478515625	0.7	0.9483546374489096	0.18879871368408202	0.06164479344449094	1.0	0.02740478515625	True	False
just	discourse_particle	35	2438	just	h	50	50	0	0.0	0.58	0.6978651874374424	0.006698105335235594	0.13869277987712697	1.0	0.438690185546875	0.54	0.03809707829149307	0.09251247644424439	-0.1585901382428566	0.0	-0.1244807243347168	True	False
just	discourse_particle	36	3236	just	h	50	50	0	0.0	0.5	0.464326534021426	0.012495689392089844	-0.04459868898996897	0.0	-0.26104736328125	0.76	0.9158494785972828	0.35149805068969725	0.13651722012170017	1.0	0.1783447265625	True	False
just	discourse_particle	37	1907	just	h	50	50	0	0.0	0.6	0.48227543731068323	0.0989054036140442	-0.10017719360690894	1.0	0.0616455078125	0.76	0.8601357442365914	0.22287420988082884	0.16602280278900736	1.0	0.0912909507751464	True	True
just	discourse_particle	38	2717	just	h	50	50	0	0.0	0.58	0.02767576427622747	0.05263988733291624	-0.010755423686990076	1.0	0.0497198104858398	0.82	0.9986670846420412	0.20531087636947631	0.04708009098500059	1.0	0.523193359375	True	True
just	discourse_particle	39	4722	just	h	50	50	3	0.030927835051546393	0.48	0.018188960582800437	0.044759817123413086	-0.08913722027387264	0.0	-0.1767292022705078	0.7	0.9280714086149969	0.06888280153274536	0.11316954553519029	1.0	0.3192062377929687	True	False
