model	particle	median_delta	ci_low	ci_high	pct_positive	n_used	n_total	n_outliers	source_path
Llama 3 8B Instruct	just	0.18923208404569866	0.1761025030361978	0.2069716173059799	85.34172661870504	1112	1182	70	particle_removal/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_filtered_just_dd_removal.csv
Llama 3 8B Instruct	only	0.15237225186814823	0.1292151888908694	0.1717946602692528	80.28571428571428	350	360	10	particle_removal/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_filtered_only_dd_removal.csv
Llama 3 8B Instruct	not	0.527614638918922	0.5019956601211453	0.558560804887251	97.28651237031126	1253	1307	54	particle_removal/results/llama3_instruct/Meta-Llama-3-8B-Instruct_context_filtered_not_dd_removal.csv
OLMo-2 7B Instruct	just	0.15044601249455608	0.1320408670011339	0.16724028980808495	80.54577464788733	1136	1182	46	particle_removal/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_filtered_just_dd_removal.csv
OLMo-2 7B Instruct	only	0.1585250044210644	0.1377308269629726	0.1993091764904209	78.06267806267806	351	360	9	particle_removal/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_filtered_only_dd_removal.csv
OLMo-2 7B Instruct	not	0.5364085466433801	0.5109742482503252	0.5551333064921424	96.72131147540983	1281	1307	26	particle_removal/results/olmo2_instruct/OLMo-2-1124-7B-Instruct_context_filtered_not_dd_removal.csv
Qwen3.5 9B CT	just	0.050022199113144705	0.0386162495267563	0.0578547034299734	63.48920863309353	1112	1182	70	particle_removal/results/qwen35_instruct/Qwen3.5-9B_context_filtered_just_dd_removal.csv
Qwen3.5 9B CT	only	0.07773084189461779	0.05254674599639741	0.09494497492542325	67.81609195402298	348	360	12	particle_removal/results/qwen35_instruct/Qwen3.5-9B_context_filtered_only_dd_removal.csv
Qwen3.5 9B CT	not	0.3936816800724376	0.3746277749538422	0.4114940948587247	94.96459480723838	1271	1307	36	particle_removal/results/qwen35_instruct/Qwen3.5-9B_context_filtered_not_dd_removal.csv
Gemma-2 9B IT	just	0.1493519495727771	0.1316497081468086	0.1662664966306826	82.93545534924846	1131	1182	51	particle_removal/results/gemma2_it/gemma-2-9b-it_context_filtered_just_dd_removal.csv
Gemma-2 9B IT	only	0.1344224396597573	0.1140844598412509	0.159593167512313	80.05865102639295	341	360	19	particle_removal/results/gemma2_it/gemma-2-9b-it_context_filtered_only_dd_removal.csv
Gemma-2 9B IT	not	0.4543830590211586	0.4285101688396162	0.4732097245064111	97.3015873015873	1260	1307	47	particle_removal/results/gemma2_it/gemma-2-9b-it_context_filtered_not_dd_removal.csv
